name	taxid	lineage	N	host
Human papillomavirus type 131	909330	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 14	1	Homo sapiens
Human papillomavirus type 132	909331	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus; Human papillomavirus 132-like viruses	1	Homo sapiens
Human papillomavirus type 134	909333	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
Human papillomavirus type 135	1070408	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 15	1	Homo sapiens
Human papillomavirus type 136	1070409	dsDNA viruses, no RNA stage; Papillomaviridae; unclassified Papillomaviridae; Human papillomavirus types	1	Homo sapiens
Human papillomavirus type 137	1070410	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 16	1	Homo sapiens
Human papillomavirus type 140	1070413	dsDNA viruses, no RNA stage; Papillomaviridae; unclassified Papillomaviridae; Human papillomavirus types	1	Homo sapiens
Human papillomavirus type 144	1070417	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 17	1	Homo sapiens
Human papillomavirus type 154	1195796	dsDNA viruses, no RNA stage; Papillomaviridae; unclassified Papillomaviridae; Human papillomavirus types	1	Homo sapiens
Human papillomavirus type 16	333760	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 9	1	Homo sapiens
Human papillomavirus type 163	1315262	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 20	1	Homo sapiens
Human papillomavirus type 166	1315259	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 19	1	Homo sapiens
Human papillomavirus type 167	1420545	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
Human papillomavirus type 178	1478160	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
Human papillomavirus type 179	1472342	dsDNA viruses, no RNA stage; Papillomaviridae; unclassified Papillomaviridae; Human papillomavirus types	1	Homo sapiens
Human papillomavirus type 201	1682340	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
Human papillomavirus type 26	333762	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 5	1	Homo sapiens
Human papillomavirus type 32	333763	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 1	1	Homo sapiens
Human papillomavirus type 34	333764	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 11	1	Homo sapiens
Human papillomavirus type 4	10617	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 1	1	Homo sapiens
Human papillomavirus type 41	10589	dsDNA viruses, no RNA stage; Papillomaviridae; Nupapillomavirus; Nupapillomavirus 1	1	Homo sapiens
